Fold-Change,Chi-Squared,Information Gain
hsa-mir-509-2,hsa-mir-4794,hsa-mir-4706
hsa-mir-509-3,hsa-mir-4799,hsa-mir-4708
hsa-mir-5093,hsa-mir-4802,hsa-mir-4713
hsa-mir-5095,hsa-mir-4804,hsa-mir-4716
hsa-mir-510,hsa-mir-489,hsa-mir-4717
hsa-mir-512-1,hsa-mir-493,hsa-mir-4718
hsa-mir-512-2,hsa-mir-494,hsa-mir-4727
hsa-mir-513a-1,hsa-mir-496,hsa-mir-4730
hsa-mir-513a-2,hsa-mir-499b,hsa-mir-4731
hsa-mir-513c,hsa-mir-5004,hsa-mir-4733
hsa-mir-514a-1,hsa-mir-5007,hsa-mir-4740
hsa-mir-514a-2,hsa-mir-5011,hsa-mir-4742
hsa-mir-514a-3,hsa-mir-5087,hsa-mir-4746
hsa-mir-514b,hsa-mir-5093,hsa-mir-4748
hsa-mir-515-1,hsa-mir-5094,hsa-mir-4752
hsa-mir-515-2,hsa-mir-512-1,hsa-mir-4755
hsa-mir-516a-1,hsa-mir-512-2,hsa-mir-4756
hsa-mir-516a-2,hsa-mir-513a-1,hsa-mir-4764
hsa-mir-516b-1,hsa-mir-514b,hsa-mir-4774
hsa-mir-516b-2,hsa-mir-516a-1,hsa-mir-4785
hsa-mir-517a,hsa-mir-516a-2,hsa-mir-4786
hsa-mir-517b,hsa-mir-5186,hsa-mir-4787
hsa-mir-517c,hsa-mir-518a-2,hsa-mir-4791
hsa-mir-518a-1,hsa-mir-5190,hsa-mir-4793
hsa-mir-518a-2,hsa-mir-5192,hsa-mir-4794
hsa-mir-518b,hsa-mir-5195,hsa-mir-4797
hsa-mir-518c,hsa-mir-5196,hsa-mir-4802
hsa-mir-518d,hsa-mir-519b,hsa-mir-4803
hsa-mir-518e,hsa-mir-520e,hsa-mir-487b
hsa-mir-518f,hsa-mir-521-2,hsa-mir-488
hsa-mir-5190,hsa-mir-526b,hsa-mir-493
hsa-mir-5191,hsa-mir-527,hsa-mir-495
hsa-mir-5192,hsa-mir-539,hsa-mir-497
hsa-mir-5194,hsa-mir-541,hsa-mir-5004
hsa-mir-5195,hsa-mir-544a,hsa-mir-500a
hsa-mir-5196,hsa-mir-548ab,hsa-mir-500b
hsa-mir-519a-1,hsa-mir-548ac,hsa-mir-501
hsa-mir-519a-2,hsa-mir-548ad,hsa-mir-5011
hsa-mir-519b,hsa-mir-548ag-1,hsa-mir-503
hsa-mir-519c,hsa-mir-548ag-2,hsa-mir-504
hsa-mir-519d,hsa-mir-548ah,hsa-mir-506
hsa-mir-519e,hsa-mir-548ak,hsa-mir-508
hsa-mir-520a,hsa-mir-548an,hsa-mir-5088
hsa-mir-520b,hsa-mir-548ao,hsa-mir-509-1
hsa-mir-520c,hsa-mir-548as,hsa-mir-509-2
hsa-mir-520d,hsa-mir-548at,hsa-mir-5100
hsa-mir-520e,hsa-mir-548au,hsa-mir-513a-1
hsa-mir-520f,hsa-mir-548ax,hsa-mir-514a-1
hsa-mir-520g,hsa-mir-548ay,hsa-mir-514a-2
hsa-mir-520h,hsa-mir-548az,hsa-mir-515-2
hsa-mir-521-1,hsa-mir-548c,hsa-mir-516b-1
hsa-mir-521-2,hsa-mir-548f-4,hsa-mir-517a
hsa-mir-522,hsa-mir-548f-5,hsa-mir-5186
hsa-mir-523,hsa-mir-548h-5,hsa-mir-5189
hsa-mir-524,hsa-mir-548k,hsa-mir-518a-2
hsa-mir-525,hsa-mir-548m,hsa-mir-518f
hsa-mir-526a-2,hsa-mir-548t,hsa-mir-5191
hsa-mir-526b,hsa-mir-548u,hsa-mir-5192
hsa-mir-527,hsa-mir-548w,hsa-mir-519d
hsa-mir-548a-2,hsa-mir-548x,hsa-mir-520a
hsa-mir-548aa-2,hsa-mir-550b-1,hsa-mir-520d
hsa-mir-548ad,hsa-mir-554,hsa-mir-520e
hsa-mir-548ak,hsa-mir-5583-1,hsa-mir-520f
hsa-mir-548am,hsa-mir-5584,hsa-mir-521-2
hsa-mir-548an,hsa-mir-5585,hsa-mir-522
hsa-mir-548ao,hsa-mir-5587,hsa-mir-523
hsa-mir-548ap,hsa-mir-5591,hsa-mir-526a-2
hsa-mir-548as,hsa-mir-563,hsa-mir-527
hsa-mir-548ax,hsa-mir-5681a,hsa-mir-543
hsa-mir-548bb,hsa-mir-5681b,hsa-mir-548aa-1
hsa-mir-548c,hsa-mir-5690,hsa-mir-548ac
hsa-mir-548f-1,hsa-mir-5691,hsa-mir-548ah
hsa-mir-548f-4,hsa-mir-5692a-1,hsa-mir-548aj-1
hsa-mir-548h-3,hsa-mir-5692c-2,hsa-mir-548ak
hsa-mir-548h-5,hsa-mir-5694,hsa-mir-548au
hsa-mir-548m,hsa-mir-5697,hsa-mir-548aw
hsa-mir-548u,hsa-mir-5700,hsa-mir-548d-2
hsa-mir-548w,hsa-mir-5702,hsa-mir-548f-1
hsa-mir-548x,hsa-mir-5703,hsa-mir-548h-3
hsa-mir-550b-1,hsa-mir-5704,hsa-mir-548i-1
hsa-mir-550b-2,hsa-mir-5708,hsa-mir-548i-4
hsa-mir-5572,hsa-mir-571,hsa-mir-548j
hsa-mir-5583-1,hsa-mir-575,hsa-mir-548s
hsa-mir-5583-2,hsa-mir-577,hsa-mir-548v
hsa-mir-5587,hsa-mir-578,hsa-mir-548z
hsa-mir-5589,hsa-mir-591,hsa-mir-5572
hsa-mir-5590,hsa-mir-593,hsa-mir-558
