Fold-Change,RFE,NCA
hsa-mir-596,,hsa-mir-6088
hsa-mir-597,,hsa-mir-609
hsa-mir-599,,hsa-mir-6090
hsa-mir-601,,hsa-mir-610
hsa-mir-602,,hsa-mir-611
hsa-mir-603,,hsa-mir-6124
hsa-mir-604,,hsa-mir-6126
hsa-mir-606,,hsa-mir-6127
hsa-mir-6068,,hsa-mir-613
hsa-mir-6071,,hsa-mir-6130
hsa-mir-6076,,hsa-mir-6132
hsa-mir-6077,,hsa-mir-614
hsa-mir-6080,,hsa-mir-623
hsa-mir-6081,,hsa-mir-630
hsa-mir-6083,,hsa-mir-631
hsa-mir-6088,,hsa-mir-635
hsa-mir-6090,,hsa-mir-637
hsa-mir-610,,hsa-mir-640
hsa-mir-6126,,hsa-mir-642b
hsa-mir-6127,,hsa-mir-644a
hsa-mir-613,,hsa-mir-645
hsa-mir-6130,,hsa-mir-650
hsa-mir-6131,,hsa-mir-6500
hsa-mir-6165,,hsa-mir-6502
hsa-mir-617,,hsa-mir-6504
hsa-mir-621,,hsa-mir-6513
hsa-mir-622,,hsa-mir-657
hsa-mir-623,,hsa-mir-661
hsa-mir-630,,hsa-mir-663a
hsa-mir-635,,hsa-mir-663b
hsa-mir-637,,hsa-mir-6715b
hsa-mir-638,,hsa-mir-6719
hsa-mir-640,,hsa-mir-6722
hsa-mir-644a,,hsa-mir-6723
hsa-mir-645,,hsa-mir-6731
hsa-mir-647,,hsa-mir-6732
hsa-mir-650,,hsa-mir-6733
hsa-mir-6500,,hsa-mir-6736
hsa-mir-6505,,hsa-mir-6740
hsa-mir-657,,hsa-mir-6742
hsa-mir-661,,hsa-mir-6744
hsa-mir-662,,hsa-mir-6751
hsa-mir-663a,,hsa-mir-6752
hsa-mir-668,,hsa-mir-6754
hsa-mir-670,,hsa-mir-6755
hsa-mir-6719,,hsa-mir-6758
hsa-mir-6721,,hsa-mir-6760
hsa-mir-6722,,hsa-mir-6764
hsa-mir-6727,,hsa-mir-6768
hsa-mir-6745,,hsa-mir-6770-1
hsa-mir-6752,,hsa-mir-6770-2
hsa-mir-6759,,hsa-mir-6770-3
hsa-mir-6770-1,,hsa-mir-6780a
hsa-mir-6770-2,,hsa-mir-6785
hsa-mir-6770-3,,hsa-mir-6786
hsa-mir-6776,,hsa-mir-6787
hsa-mir-6778,,hsa-mir-6795
hsa-mir-6780a,,hsa-mir-6804
hsa-mir-6782,,hsa-mir-6811
hsa-mir-6785,,hsa-mir-6816
hsa-mir-6790,,hsa-mir-6817
hsa-mir-6791,,hsa-mir-6818
hsa-mir-6796,,hsa-mir-6822
hsa-mir-6804,,hsa-mir-6824
hsa-mir-6811,,hsa-mir-6825
hsa-mir-6823,,hsa-mir-6826
hsa-mir-6828,,hsa-mir-6829
